rank,building_id,composite_score,completeness_pct,site_id,building_type,selected_as_source
218,Fox_education_Kris,79.59,99.95,Fox,Education,False
219,Bear_education_Oscar,79.59,99.76,Bear,Education,False
220,Peacock_education_Forest,79.59,99.77,Peacock,Education,False
221,Moose_education_Marlon,79.59,99.81,Moose,Education,False
222,Bear_education_Owen,79.58,99.96,Bear,Education,False
223,Hog_education_Hallie,79.58,99.99,Hog,Education,False
224,Fox_education_Wendell,79.58,99.96,Fox,Education,False
225,Bear_education_Clint,79.58,99.73,Bear,Education,False
226,Fox_education_Melinda,79.58,99.98,Fox,Education,False
227,Rat_public_Marcellus,79.58,99.81,Rat,Public services,False
228,Rat_office_Annis,79.58,99.7,Rat,Office,False
229,Bear_education_Lorie,79.58,99.68,Bear,Education,False
230,Hog_education_Odell,79.58,99.84,Hog,Education,False
231,Bear_education_Wilton,79.58,99.9,Bear,Education,False
232,Bear_education_Pattie,79.58,99.75,Bear,Education,False
233,Rat_public_Caroline,79.57,99.83,Rat,Public services,False
234,Bear_education_Patricia,79.57,99.77,Bear,Education,False
235,Fox_education_Willis,79.56,99.98,Fox,Education,False
236,Peacock_education_Gilberto,79.56,99.91,Peacock,Education,False
237,Rat_public_Stacey,79.56,99.7,Rat,Public services,False
238,Rat_public_Ramon,79.56,99.69,Rat,Public services,False
239,Fox_education_Louie,79.56,99.98,Fox,Education,False
240,Bear_education_Bulah,79.56,99.77,Bear,Education,False
241,Wolf_education_Joaquin,79.56,99.98,Wolf,Education,False
242,Rat_health_Mildred,79.56,99.69,Rat,Healthcare,False
243,Rat_public_Roma,79.56,99.69,Rat,Public services,False
244,Rat_assembly_Ida,79.55,99.42,Rat,Entertainment/public assembly,False
245,Rat_public_Courtney,79.55,99.56,Rat,Public services,False
246,Fox_education_Jaclyn,79.55,99.91,Fox,Education,False
247,Fox_education_Eldon,79.55,99.97,Fox,Education,False
248,Rat_office_Olivia,79.55,99.7,Rat,Office,False
249,Fox_education_Charles,79.55,99.88,Fox,Education,False
250,Wolf_education_Josefa,79.55,99.97,Wolf,Education,False
251,Rat_office_Tracy,79.54,99.64,Rat,Office,False
252,Rat_public_Deidre,79.54,99.84,Rat,Public services,False
253,Bear_education_Marie,79.54,99.99,Bear,Education,False
254,Rat_public_Yessenia,79.54,99.7,Rat,Public services,False
255,Bear_education_Tara,79.54,99.76,Bear,Education,False
256,Fox_education_Geoffrey,79.54,99.96,Fox,Education,False
257,Bear_education_Chana,79.54,99.78,Bear,Education,False
258,Fox_education_Gloria,79.54,99.93,Fox,Education,False
259,Fox_education_Ollie,79.53,99.99,Fox,Education,False
260,Fox_education_Theodore,79.53,99.97,Fox,Education,False
261,Bear_education_Augusta,79.53,99.61,Bear,Education,False
262,Bear_education_Curtis,79.53,99.56,Bear,Education,False
263,Rat_office_Jamal,79.53,99.98,Rat,Office,False
264,Hog_education_Luvenia,79.53,99.46,Hog,Education,False
265,Rat_assembly_Trent,79.53,99.68,Rat,Entertainment/public assembly,False
266,Hog_education_Caridad,79.53,99.58,Hog,Education,False
267,Rat_assembly_Frieda,79.52,99.57,Rat,Entertainment/public assembly,False
268,Fox_education_Otilia,79.52,99.9,Fox,Education,False
269,Rat_office_Jeannie,79.52,99.7,Rat,Office,False
270,Rat_office_Jacinta,79.52,99.42,Rat,Office,False
271,Fox_education_Lilly,79.52,99.44,Fox,Education,False
272,Rat_public_Hortencia,79.52,99.57,Rat,Public services,False
273,Hog_education_Beth,79.52,99.96,Hog,Education,False
274,Hog_education_Casandra,79.52,100.0,Hog,Education,False
275,Wolf_education_Eulalia,79.52,99.98,Wolf,Education,False
276,Rat_public_Leta,79.52,99.83,Rat,Public services,False
277,Rat_assembly_Viola,79.51,99.83,Rat,Entertainment/public assembly,False
278,Bear_education_Elise,79.51,99.99,Bear,Education,False
279,Bear_education_Alvaro,79.51,99.64,Bear,Education,False
280,Rat_public_Leo,79.51,99.77,Rat,Public services,False
